"연도","고객번호","기업체명","원장번호","개인법인사업자구분명","보증잔액","직위재구분","상시직원수","통합통계거래상대처은행","신용평가등급"
2018-12-31,061151859,현대이엔티(주),TOE201700391,법인사업자,1202750000,직접,21,중소기업은행,KR7
2018-12-31,072302202,머리&코한의원,THJ201400788,개인사업자,272000000,직접,0,우리은행,KR6
2018-12-31,000115681,더샘동성로점,TPA201100574,개인사업자,49207500,위탁,4,국민은행,KR9
2018-12-31,061283727,알파문구,TSA201400504,개인사업자,31200000,직접,1,KEB하나은행,KR9
2018-12-31,075751999,(주)제이제이테크,JBA201800006,법인사업자,40000000,직접,0,중소기업진흥공단,KR11
2018-12-31,059871361,아슬라조경(주),TIH201600042,법인사업자,38250000,직접,7,중소기업은행,KR13
2018-12-31,075493383,델포이내과,TJB201700292,개인사업자,1890000000,직접,6,농업협동조합,KR9
2018-12-31,075730622,24시똑똑똑동물메디컬센터,TRB201800017,개인사업자,150000000,직접,0,중소기업은행,KR9
2018-12-31,041535929,동아약품(주),TND201700054,법인사업자,30000000,직접,11,기타,KR4
2018-12-31,005032604,(주)한불,THJ201800561,법인사업자,990000000,직접,23,우리은행,KR4
2018-12-31,072257292,(주)에이스판넬,THA201500088,법인사업자,180000000,직접,10,국민은행,KR7
2018-12-31,063700321,국원건기,TLB200900144,개인사업자,8500000,직접,0,국민은행,KR12
2018-12-31,072361421,주성엔지니어링,TOD201400327,개인사업자,17280000,직접,0,우리은행,KR12
2018-12-31,071895480,천하산업기계(주),THD201600749,법인사업자,68000000,직접,9,중소기업은행,KR6
2018-12-31,063107335,(기타)농업회사법인주식회사다모,TPN201600286,법인사업자,85000000,직접,13,대구은행,KR5
2018-12-31,070294684,(주)현대푸드시스템,TOE201800498,법인사업자,900000000,직접,116,신한은행,KR7
2018-12-31,023888487,(주)우영종합건설,TQA201601285,법인사업자,765000000,직접,45,농업협동조합,KR9
2018-12-31,071104003,(주)케어메드,TAM201800836,법인사업자,270000000,직접,9,신한은행,KR7
2018-12-31,069445525,(주)코리아피앤시,TQH201700399,법인사업자,340000000,직접,32,중소기업은행,KR12
2018-12-31,061643118,하나자원(주),THK201001131,법인사업자,29750000,직접,5,한국씨티은행,KR10
2018-12-31,073232122,풍양중기,TJB201500260,개인사업자,19550000,직접,0,국민은행,KR9
2018-12-31,067764062,블루인테리어,TME201100625,개인사업자,11704500,직접,0,농업협동조합,KR13
2018-12-31,046939821,삼목개발(주),THW201600041,법인사업자,76500000,직접,7,국민은행,KR8
2018-12-31,063549566,(주)녹색도시건설,TIG201400530,법인사업자,15840000,직접,9,중소기업은행,KR10
2018-12-31,075333016,(주)일신폴리캠,TMA201700938,법인사업자,200000000,직접,3,KEB하나은행,KR7
2018-12-31,075247526,카즈마,TAP201701178,개인사업자,24300000,직접,0,우리은행,KR13
2018-12-31,073122805,(주)을지종합관리,TAU201500583,법인사업자,68228792,직접,153,KEB하나은행,KR3
2018-12-31,069251036,해피엔딩(주),TAQ201800444,법인사업자,68000000,직접,58,중소기업은행,KR9
2018-12-31,073198868,(주)승진,TQK201500340,법인사업자,255000000,직접,40,경남은행,KR9
2018-12-31,071446486,백양식품,TBG201301615,개인사업자,76500000,직접,3,농업협동조합,KR13
2018-12-31,046758073,서림방재기술(주),TCD201400113,법인사업자,42500000,직접,21,신한은행,KR12
2018-12-31,074578678,(주)태림산업관리,TAD201700915,법인사업자,300500000,직접,99,우리은행,KR5
2018-12-31,021884302,가평OA,TJA201500083,개인사업자,38250000,직접,4,농업협동조합,KR8
2018-12-31,071752620,(주)농업회사법인(주)태성김치,TLD201400091,법인사업자,206550000,직접,65,중소기업은행,KR8
2018-12-31,075185950,나루호도 디자인,TPF201700150,개인사업자,30000000,직접,0,신한은행,KR14
2018-12-31,025841419,하이팩,THD201600108,개인사업자,100000000,직접,12,기타,KR5
2018-12-31,070058147,스위치어패럴(switch APPAREL),JPA201700002,개인사업자,10000000,직접,0,KEB하나은행,KR15
2018-12-31,066515445,에이덴트,TAU201100789,개인사업자,107100000,직접,1,중소기업은행,KR8
2018-12-31,028473004,삼성자바라,TBF201100027,개인사업자,36000000,직접,6,부산은행,
2018-12-31,069044366,세원유통,TQI201200039,개인사업자,19000000,직접,3,중소기업은행,KR10
2018-12-31,069918557,(주)영남가스텍,TQI201800364,법인사업자,154700000,직접,8,경남은행,KR9
2018-12-31,006271053,에스에프앤티(주),TQI201700879,법인사업자,225000000,직접,62,KEB하나은행,KR14
2018-12-31,075644776,(주)현대파렛트,TIA201800519,법인사업자,270000000,직접,9,중소기업은행,KR7
2018-12-31,064000318,해동금속,TIZ200900331,개인사업자,38250000,직접,3,국민은행,KR7
2018-12-31,072729380,(주)굿모닝퍼니처,THU201700001,법인사업자,27000000,직접,6,중소기업은행,KR7
2018-12-31,076584398,삼원쇼파,JAN201800043,개인사업자,48000000,직접,0,농업협동조합,KR13
2018-12-31,071542092,(주)대웅피앤피,THS201400114,법인사업자,30150000,직접,1,중소기업은행,KR10
2018-12-31,070552261,커피로,TBK201800528,개인사업자,85000000,직접,0,KEB하나은행,KR9
2018-12-31,061177192,한솔이엔에이,TIB201000162,개인사업자,382500000,직접,4,중소기업은행,KR7
2018-12-31,000245069,신한내산,THU201701075,개인사업자,300000000,직접,33,우리은행,KR11
2018-12-31,072210815,(주)제주케이라인,TRA201800193,법인사업자,360000000,직접,6,중소기업은행,KR4
2018-12-31,069898871,감천주유소,TQI201800869,개인사업자,170000000,직접,1,농업협동조합,KR9
2018-12-31,033689058,초원환경산업(주),TJC201600291,법인사업자,425000000,직접,19,중소기업은행,KR7
2018-12-31,063505474,대원테크(동업),THT201200050,개인사업자,60000000,직접,10,중소기업은행,KR7
2018-12-31,076312065,(주)신화한박스,TIA201800802,법인사업자,90000000,직접,8,한국스탠다드차타드,KR8
2018-12-31,061339927,(주)대운하이테크,TBI201500561,법인사업자,100000000,직접,45,KEB하나은행,KR7
2018-12-31,069350649,로젠대성,QAC201200511,개인사업자,225250000,직접,3,중소기업은행,KR9
2018-12-31,068092636,(주)바비즈코리아,TAU201600207,법인사업자,382500000,직접,54,KEB하나은행,KR9
2018-12-31,075522018,서울삼성이비인후과의원,TLD201700314,개인사업자,195000000,직접,0,한국씨티은행,KR10
2018-12-31,037463924,(주)엘에스팜,TMB201600701,법인사업자,25000000,직접,7,기타,KR7
2018-12-31,045597439,(주)석수조경,TIB201200266,법인사업자,12750000,직접,4,중소기업은행,KR12
2018-12-31,061461060,(주)안동철망,TPN201800295,법인사업자,63750000,직접,6,대구은행,KR5
2018-12-31,069363869,누마스타,TLB201200197,개인사업자,5950000,직접,0,KEB하나은행,KR14
2018-12-31,074710481,(주)워브홀딩스,TAO201700377,법인사업자,280000000,직접,1,중소기업은행,KR11
2018-12-31,042177771,(주)금원아이디에스,TBG201601523,법인사업자,432000000,직접,14,중소기업은행,KR9
2018-12-31,065487150,"대원,목포,남악스카이,크레인",TOG201100909,개인사업자,18530000,직접,0,농업협동조합,KR6
2018-12-31,074010592,창원종합스틸(주),TQI201800447,법인사업자,99000000,직접,1,중소기업은행,KR10
2018-12-31,062563789,대진테크,THG201800730,개인사업자,40375000,직접,0,신한은행,KR12
2018-12-31,076538603,이택솔루션,TIC201800445,개인사업자,90000000,직접,0,KEB하나은행,KR8
2018-12-31,005385869,승비산업,TPQ201800417,개인사업자,31920000,직접,10,국민은행,KR8
2018-12-31,046720768,동성흥업,TJB201800209,개인사업자,12750000,직접,0,농업협동조합,KR10
2018-12-31,075277619,(주)엘에스에프아이티,TAN201700733,법인사업자,171000000,직접,11,한국씨티은행,KR7
2018-12-31,073039846,솔로몬테크(주),TPO201600461,법인사업자,110000000,직접,11,우리은행,KR12
2018-12-31,074004171,(주)명성컴퍼니,THV201800192,법인사업자,160000000,직접,11,신한은행,KR8
2018-12-31,041602124,(주)하우플러스,TCE201600022,법인사업자,92000000,직접,4,신한은행,KR14
2018-12-31,066980193,두원유통,TPE201200627,개인사업자,42750000,직접,3,국민은행,KR10
2018-12-31,046409665,삼정상운,TBF200901531,개인사업자,14000000,직접,0,부산은행,KR13
2018-12-31,025324842,미라클상사,TPJ201800739,개인사업자,18000000,직접,2,대구은행,KR7
2018-12-31,069294909,(주)삼영에너지,TLE201600054,법인사업자,524880000,직접,3,우리은행,KR8
2018-12-31,062906265,(주)오피스랜드,TQA201800903,법인사업자,125100000,직접,3,경남은행,KR10
2018-12-31,002933997,(주)창화스텐,TMA201600379,법인사업자,150000000,직접,4,기타,KR3
2018-12-31,070086368,한영코퍼레이션,THQ201700389,개인사업자,68000000,직접,0,중소기업은행,KR9
2018-12-31,006511849,보성자동차정비공업사(동업),THY201600072,개인사업자,243000000,직접,20,KEB하나은행,KR7
2018-12-31,061992351,(주)가을디에스,QAC201700460,법인사업자,240000000,직접,20,중소기업은행,KR8
2018-12-31,017040749,(주)삼보아스콘,TPP201800216,법인사업자,49500000,직접,4,농업협동조합,KR7
2018-12-31,076041802,(주)나눔과동행농업회사법인,TNC201800157,법인사업자,103500000,직접,2,신한은행,KR9
2018-12-31,061843659,한미운수,TJD201400168,개인사업자,16150000,직접,0,농업협동조합,KR10
2018-12-31,067003312,옹진상회,TIZ201000554,개인사업자,56000000,직접,3,한국씨티은행,KR7
2018-12-31,006422750,(주)에스알신도판매,QAC201002238,법인사업자,17550000,위탁,2,국민은행,KR14
2018-12-31,061960684,(주)네오바이오텍,TAW201500637,법인사업자,233280000,직접,251,신한은행,KR6
2018-12-31,071860350,(주)삼성종합상사,TMB201400256,법인사업자,22500000,직접,4,중소기업은행,KR8
2018-12-31,070866148,(주)농업회사법인성남물류,TCE201600240,법인사업자,207000000,직접,3,농업협동조합,KR7
2018-12-31,067351815,태웅푸드,TCE201200440,개인사업자,69700000,직접,0,우리은행,KR7
2018-12-31,075178734,(주)준푸드,THZ201700655,법인사업자,180000000,직접,17,국민은행,KR8
2018-12-31,068262673,(주)스틸엠,TIE201500191,법인사업자,102000000,직접,5,신한은행,KR11
2018-12-31,073037958,미소홍커피,KPB201500041,개인사업자,75000000,직접,0,농업협동조합,KR14
2018-12-31,072915246,(주)오크라투비즈,TAW201600684,법인사업자,170000000,직접,0,중소기업은행,KR7
2018-12-31,073089498,닥터황스마트마취통증의학과의원,THG201800169,개인사업자,190000000,직접,13,중소기업은행,KR5
2018-12-31,040212379,극동공구상사,TIE201200641,개인사업자,63750000,직접,4,중소기업은행,KR9
2018-12-31,071013343,(주)라인이엔지,TOI201800632,법인사업자,595000000,직접,55,우리은행,KR5
2018-12-31,073668534,(주)시온,TOG201600199,법인사업자,121500000,직접,2,광주은행,KR12
2018-12-31,072906446,(주)다현테크,TQA201700470,법인사업자,416500000,직접,30,KEB하나은행,KR10
2018-12-31,003185731,월드브리지산업(주),TAL201500341,법인사업자,299700000,직접,39,중소기업은행,KR4
2018-12-31,069203055,대영지게차,TMF201200113,개인사업자,38250000,직접,0,신한은행,KR7
2018-12-31,068913375,의정부힐링스병원,THS201800468,개인사업자,450000000,직접,197,우리은행,KR14
2018-12-31,004894571,클로버부품대리점,TNA201600422,개인사업자,76500000,직접,2,국민은행,KR6
2018-12-31,076158355,이제이시스템,TQB201800288,개인사업자,72000000,직접,0,한국씨티은행,KR9
2018-12-31,070836563,첨단세무회계,TOF201601167,개인사업자,70000000,직접,2,중소기업은행,KR15
2018-12-31,075123970,(주)대진에이치에스,TBF201800371,법인사업자,450000000,직접,18,국민은행,KR7
2018-12-31,072454451,(주)청일레이져,TLA201400833,법인사업자,255000000,직접,12,중소기업은행,KR9
2018-12-31,071426150,블루비스,TIB201400265,개인사업자,40500000,직접,0,농업협동조합,KR12
2018-12-31,063922701,일반화물,TOI201800077,개인사업자,16200000,직접,0,농업협동조합,KR10
2018-12-31,067427105,(주)한백에프앤씨,TAF201100135,법인사업자,29925000,직접,58,중소기업은행,KR8
2018-12-31,020096418,정월상사,TQI200901020,개인사업자,16000000,직접,1,경남은행,KR12
2018-12-31,076412457,포항수협지정중매인30번,TPH201800554,개인사업자,102000000,직접,1,국민은행,KR5
2018-12-31,075846419,(주)팸컴퍼니,TAV201800230,법인사업자,135000000,직접,21,신한은행,KR8
2018-12-31,005682753,홍익사,THL201700954,개인사업자,15795000,위탁,5,국민은행,F2
2018-12-31,074934869,주신,TAF201700570,개인사업자,108000000,직접,12,신한은행,KR13
2018-12-31,064533474,바다&낙지,TCE201100572,개인사업자,20400000,직접,2,국민은행,KR7
2018-12-31,068812874,(주)착한동네,TOA201800470,법인사업자,110500000,직접,14,한국스탠다드차타드,KR11
2018-12-31,004344555,호명화학공업(주),TIS201700275,법인사업자,75000000,직접,80,신한은행,KR7
2018-12-31,071096988,(주)다솜컴퍼니,TAW201800729,법인사업자,280500000,직접,9,중소기업은행,KR5
2018-12-31,072547737,(주)한세포일,TAI201400876,법인사업자,110500000,직접,10,신한은행,KR13
2018-12-31,073713311,(주)미공디자인,THY201800152,법인사업자,266000000,직접,13,중소기업은행,KR11
2018-12-31,075256041,(주)엠앤엠테크,TIH201700432,법인사업자,100000000,직접,5,국민은행,KR12
