연도,고객번호,기업체명,원장번호,개인법인사업자구분명,보증잔액,직위재구분
2018-12-31,037670404,콘트,XJQ200652520,개인사업자,85000000,직접
2018-12-31,040643733,은성,PBS201410907,개인사업자,76500000,직접
2018-12-31,054232085,동우,NER201013725,개인사업자,136000000,직접
2018-12-31,084988526,두산,YQW201703456,법인사업자,279000000,직접
2018-12-31,020105007,(유한)원진,GHV200036052,법인사업자,170000000,직접
2018-12-31,010020485,(주)텍코,KJW200943817,법인사업자,170000000,직접
2018-12-31,049812344,서진,IFE201279866,법인사업자,240000000,직접
2018-12-31,024067515,인디,HXH200279094,개인사업자,10625000,직접
2018-12-31,065507407,한서,XEZ201731342,법인사업자,116800000,직접
2018-12-31,045351152,쌍용,QOK200858035,법인사업자,178500000,직접
2018-12-31,083539208,(주)청아,FRF201821911,법인사업자,90000000,직접
2018-12-31,088860795,(주)대은,JHI201238376,법인사업자,360000000,직접
2018-12-31,072055560,파워,FKW201544217,개인사업자,59500000,직접
2018-12-31,037850103,평화,CVS200081005,개인사업자,100000000,직접
2018-12-31,076705742,(주)에이,TDV200509802,법인사업자,63000000,직접
2018-12-31,054965254,케이,GHU201334714,법인사업자,81600000,직접
2018-12-31,062986504,도경,XBI201032131,법인사업자,161500000,직접
2018-12-31,070773090,대진,UDD201895342,개인사업자,19600000,직접
2018-12-31,067723275,(주)바이,ONV200557014,법인사업자,100000000,직접
2018-12-31,058813656,(주)동화,ZKZ201924853,법인사업자,1280000000,직접
2018-12-31,056913947,에스,ZGD200835526,법인사업자,290700000,직접
2018-12-31,057114706,(주)성진,HEK201302209,법인사업자,1000000000,직접
2018-12-31,088494917,신관,ZUJ201682550,개인사업자,54000000,직접
2018-12-31,041535029,(주)유니,KZX200527710,법인사업자,100000000,직접
2018-12-31,030512383,금강,MVG200434930,법인사업자,42500000,직접
2018-12-31,044746919,다은,ZXE200001945,개인사업자,50000000,직접
2018-12-31,070376395,서공,MHR201971214,개인사업자,100000000,직접
2018-12-31,069071066,대호,MIH201873963,개인사업자,98600000,직접
2018-12-31,044938075,파리,VHY201987050,개인사업자,42500000,직접
2018-12-31,074068203,우창,FNG200149174,개인사업자,81000000,직접
2018-12-31,040557743,(주)화인,XJN200856833,법인사업자,38250000,직접
2018-12-31,082227281,청화,HRV201501037,개인사업자,40000000,직접
2018-12-31,018413383,(주)끌리,IZB201923402,법인사업자,135000000,직접
2018-12-31,066965954,만세,YHP200921599,개인사업자,90950000,직접
2018-12-31,042176784,일성,DGO200861138,개인사업자,29750000,직접
2018-12-31,076920723,(주)디엠,IUX201062653,법인사업자,45000000,직접
2018-12-31,064568866,(합자)진성,YRE202111199,법인사업자,22400000,직접
2018-12-31,043381221,스카,CQB201349424,개인사업자,7200000,직접
2018-12-31,013738328,성호,ZLW201711670,개인사업자,43200000,직접
2018-12-31,072029419,(주)브이,PCW201200974,법인사업자,100000000,직접
2018-12-31,018090217,(주)큐소,UFL201011691,법인사업자,92000000,직접
2018-12-31,063335070,현대,RRR202123478,개인사업자,27540000,직접
2018-12-31,024330113,(주)미준,NYY201217522,법인사업자,801000000,직접
2018-12-31,049631565,대상,VMU200317015,개인사업자,208250000,직접
2018-12-31,028041914,(주)진한,HLB200571563,법인사업자,180000000,직접
2018-12-31,076483074,현대,LTJ200932236,법인사업자,1202750000,직접
2018-12-31,064342955,머리,NKV200925545,개인사업자,272000000,직접
2018-12-31,075611031,더샘,RML200158679,개인사업자,49207500,위탁
2018-12-31,087369688,알파,KRP201871447,개인사업자,31200000,직접
2018-12-31,051186927,(주)제이,KXT200623113,법인사업자,40000000,직접
2018-12-31,036829627,아슬,ZDR201974433,법인사업자,38250000,직접
2018-12-31,017096740,델포,FSO200139062,개인사업자,1890000000,직접
2018-12-31,017488839,24,XYO201908783,개인사업자,150000000,직접
2018-12-31,072123246,동아,PPL200253409,법인사업자,30000000,직접
2018-12-31,042630879,(주)한불,ELF202001089,법인사업자,990000000,직접
2018-12-31,032213073,(주)에이,TUO200792654,법인사업자,180000000,직접
2018-12-31,040342796,국원,FOV201664358,개인사업자,8500000,직접
2018-12-31,073596945,주성,QVX201042377,개인사업자,17280000,직접
2018-12-31,032965875,천하,YDZ201039903,법인사업자,68000000,직접
2018-12-31,065212934,(기타)농업,KUL201448884,법인사업자,85000000,직접
2018-12-31,074080791,(주)현대,HIX202072388,법인사업자,900000000,직접
2018-12-31,051436395,(주)우영,GEQ201211285,법인사업자,765000000,직접
2018-12-31,066616522,(주)케어,SCJ201430220,법인사업자,270000000,직접
2018-12-31,088867086,(주)코리,GWB201423109,법인사업자,340000000,직접
2018-12-31,017744087,하나,THB201567725,법인사업자,29750000,직접
2018-12-31,012104178,풍양,UNV200869744,개인사업자,19550000,직접
2018-12-31,065612990,블루,PES200595454,개인사업자,11704500,직접
2018-12-31,087436197,삼목,CTF201801084,법인사업자,76500000,직접
2018-12-31,038269012,(주)녹색,KKV201285656,법인사업자,15840000,직접
2018-12-31,081382572,(주)일신,LNO201485101,법인사업자,200000000,직접
2018-12-31,059833429,카즈,IXG202087876,개인사업자,24300000,직접
2018-12-31,088332358,(주)을지,RTY200398854,법인사업자,68228792,직접
2018-12-31,065983376,해피,MTC202273540,법인사업자,68000000,직접
2018-12-31,089289815,(주)승진,OIE201006070,법인사업자,255000000,직접
2018-12-31,061806077,백양,IIB201464936,개인사업자,76500000,직접
2018-12-31,079893037,서림,XUB200496704,법인사업자,42500000,직접
2018-12-31,084461330,(주)태림,PRX201365583,법인사업자,300500000,직접
2018-12-31,061720678,가평,GXN200823014,개인사업자,38250000,직접
2018-12-31,082315955,(주)농업,HZN201279026,법인사업자,206550000,직접
2018-12-31,057154865,나루,IBZ201711723,개인사업자,30000000,직접
2018-12-31,057439598,하이,IZU200033963,개인사업자,100000000,직접
2018-12-31,084261213,스위,QVX201562034,개인사업자,10000000,직접
2018-12-31,062581452,에이,OMU201576134,개인사업자,107100000,직접
2018-12-31,034941206,삼성,PQL201957657,개인사업자,36000000,직접
2018-12-31,032398546,세원,UYC200502254,개인사업자,19000000,직접
2018-12-31,062722452,(주)영남,THY201419797,법인사업자,154700000,직접
2018-12-31,037795555,에스,EQH202213464,법인사업자,225000000,직접
2018-12-31,013204687,(주)현대,ZKB200977313,법인사업자,270000000,직접
2018-12-31,022782610,해동,HCR200187676,개인사업자,38250000,직접
2018-12-31,029105697,(주)굿모,FZU202034841,법인사업자,27000000,직접
2018-12-31,075660663,삼원,FRF200592672,개인사업자,48000000,직접
2018-12-31,054913823,(주)대웅,ECK201700192,법인사업자,30150000,직접
2018-12-31,042401012,커피,LFW202033541,개인사업자,85000000,직접
2018-12-31,083875480,한솔,SLE200952572,개인사업자,382500000,직접
2018-12-31,042306352,신한,CRT201652627,개인사업자,300000000,직접
2018-12-31,051558678,(주)제주,KFJ202007501,법인사업자,360000000,직접
2018-12-31,065378017,감천,JVN201862670,개인사업자,170000000,직접
2018-12-31,048789727,초원,OXC200299184,법인사업자,425000000,직접
2018-12-31,063276278,대원,TFF200958544,개인사업자,60000000,직접
2018-12-31,064665533,(주)신화,FEL201218250,법인사업자,90000000,직접
2018-12-31,079711549,(주)대운,YWT200218115,법인사업자,100000000,직접
2018-12-31,010797264,로젠,MKV200953298,개인사업자,225250000,직접
2018-12-31,077778962,(주)바비,WRT201654814,법인사업자,382500000,직접
2018-12-31,069343158,서울,OKW202211412,개인사업자,195000000,직접
2018-12-31,044918827,(주)엘에,CIP200066151,법인사업자,25000000,직접
2018-12-31,054254458,(주)석수,HBF201748487,법인사업자,12750000,직접
2018-12-31,017166408,(주)안동,TJE200040739,법인사업자,63750000,직접
2018-12-31,087700375,누마,KHU201342532,개인사업자,5950000,직접
2018-12-31,061697716,(주)워브,EIO201046312,법인사업자,280000000,직접
2018-12-31,015575355,(주)금원,ZYL202296899,법인사업자,432000000,직접
2018-12-31,052696853,대원,SWS202083301,개인사업자,18530000,직접
2018-12-31,047788902,창원,IKQ200601264,법인사업자,99000000,직접
2018-12-31,082705560,대진,YIE200648266,개인사업자,40375000,직접
2018-12-31,057500855,이택,YOX200108125,개인사업자,90000000,직접
2018-12-31,076359553,승비,LHI200882681,개인사업자,31920000,직접
2018-12-31,086262375,동성,WBU200416988,개인사업자,12750000,직접
2018-12-31,068401820,(주)엘에,RIX200485935,법인사업자,171000000,직접
2018-12-31,016946800,솔로,XWZ201403593,법인사업자,110000000,직접
2018-12-31,071941675,(주)명성,KJV201490000,법인사업자,160000000,직접
2018-12-31,077957499,(주)하우,IJD202250403,법인사업자,92000000,직접
2018-12-31,062875753,두원,ZMB201283174,개인사업자,42750000,직접
2018-12-31,053505956,삼정,STU201451572,개인사업자,14000000,직접
2018-12-31,047412799,미라,GEK200548128,개인사업자,18000000,직접
2018-12-31,075149489,(주)삼영,FEH201351544,법인사업자,524880000,직접
2018-12-31,043911219,(주)오피,RTI201385013,법인사업자,125100000,직접
2018-12-31,063503391,(주)창화,HGG201099540,법인사업자,150000000,직접
2018-12-31,066546975,한영,LOH202241537,개인사업자,68000000,직접
2018-12-31,072924827,보성,FKS201373174,개인사업자,243000000,직접
2018-12-31,017281712,(주)가을,EUL200994208,법인사업자,240000000,직접
2018-12-31,080390280,(주)삼보,PCB201672119,법인사업자,49500000,직접
2018-12-31,026994870,(주)나눔,WQO201899053,법인사업자,103500000,직접
2018-12-31,080641331,한미,MDB200697367,개인사업자,16150000,직접
2018-12-31,075606318,옹진,KMH200781942,개인사업자,56000000,직접
2018-12-31,022586086,(주)에스,SMM200698421,법인사업자,17550000,위탁
2018-12-31,016655733,(주)네오,HJE201115756,법인사업자,233280000,직접
2018-12-31,056488313,(주)삼성,RFJ200397958,법인사업자,22500000,직접
2018-12-31,083932005,(주)농업,CFW200491051,법인사업자,207000000,직접
2018-12-31,063726328,태웅,MRO200094915,개인사업자,69700000,직접
2018-12-31,056461180,(주)준푸,OXE202019961,법인사업자,180000000,직접
2018-12-31,023423395,(주)스틸,ESM200423552,법인사업자,102000000,직접
2018-12-31,085573098,미소,JJO201759059,개인사업자,75000000,직접
2018-12-31,073671555,(주)오크,DKY202206197,법인사업자,170000000,직접
2018-12-31,070990295,닥터,ZXZ201598381,개인사업자,190000000,직접
2018-12-31,045469575,극동,GUD201625844,개인사업자,63750000,직접
2018-12-31,054921192,(주)라인,PTH200293324,법인사업자,595000000,직접
2018-12-31,017902277,(주)시온,RQY200092376,법인사업자,121500000,직접
2018-12-31,012182686,(주)다현,ETS201139875,법인사업자,416500000,직접
2018-12-31,048438835,월드,KFQ201774550,법인사업자,299700000,직접
2018-12-31,010779417,대영,KVF201214935,개인사업자,38250000,직접
2018-12-31,041449479,의정,TKB200141131,개인사업자,450000000,직접
2018-12-31,084215631,클로,EEE200876038,개인사업자,76500000,직접
2018-12-31,064669767,이제,TSQ202094196,개인사업자,72000000,직접
2018-12-31,037569210,첨단,NSE200799233,개인사업자,70000000,직접
2018-12-31,023604000,(주)대진,MTQ201325411,법인사업자,450000000,직접
2018-12-31,014604761,(주)청일,FUM201095470,법인사업자,255000000,직접
2018-12-31,027616896,블루,UBK201288105,개인사업자,40500000,직접
2018-12-31,048036972,일반,QMQ202295577,개인사업자,16200000,직접
2018-12-31,060993363,(주)한백,JFG201127737,법인사업자,29925000,직접
2018-12-31,082102669,정월,YSE200912352,개인사업자,16000000,직접
2018-12-31,036773505,포항,GZF201323258,개인사업자,102000000,직접
2018-12-31,087886278,(주)팸컴,ZFG201231793,법인사업자,135000000,직접
2018-12-31,081153953,홍익,HCO201326187,개인사업자,15795000,위탁
2018-12-31,010519161,주신,LEQ200715942,개인사업자,108000000,직접
2018-12-31,056235850,바다,ZBD202109369,개인사업자,20400000,직접
2018-12-31,026005468,(주)착한,XLV200321803,법인사업자,110500000,직접
2018-12-31,047634779,호명,GQV201254770,법인사업자,75000000,직접
2018-12-31,031754362,(주)다솜,JSP201765937,법인사업자,280500000,직접
2018-12-31,060684546,(주)한세,SZZ202115345,법인사업자,110500000,직접
2018-12-31,031818925,(주)미공,PMS201251434,법인사업자,266000000,직접
2018-12-31,028473714,(주)엠앤,GIG201115509,법인사업자,100000000,직접
2018-12-31,031482471,(기타)농업,KGP201306194,법인사업자,100000000,직접
2018-12-31,013819921,(주)황룡,SSC200425171,법인사업자,59670000,직접
2018-12-31,067606068,(주)로얄,QNQ200458336,법인사업자,270000000,직접
2018-12-31,048431961,Ti,GLR201239968,개인사업자,23750000,직접
2018-12-31,040358031,드림,XQV201908603,개인사업자,100000000,직접
2018-12-31,048080360,(주)비알,BFI202231402,법인사업자,900000000,직접
2018-12-31,028483503,(주)더블,CXI200633088,법인사업자,900000000,직접
2018-12-31,026718012,크린,YXB201003218,개인사업자,150000000,직접
2018-12-31,063836577,(주)성림,BMU202030559,법인사업자,72000000,직접
2018-12-31,082167953,우리,FES200290471,개인사업자,4250000,직접
2018-12-31,062170131,(주)해피,FWD200808426,법인사업자,85000000,직접
2018-12-31,019446270,창진,ORZ200937226,개인사업자,36000000,직접
2018-12-31,071955201,한국,UNV201425770,개인사업자,3966688,직접
2018-12-31,089495888,우리,FGU202020060,개인사업자,9180000,직접
2018-12-31,031835138,더한,PVD202217465,개인사업자,100000000,직접
2018-12-31,048553804,(주)모아,PHR201670867,법인사업자,10000000,직접
2018-12-31,021789748,(주)디씽,DLY202276795,법인사업자,300000000,직접
2018-12-31,085460491,(주)청명,PKW201374499,법인사업자,270000000,직접
2018-12-31,085924401,흐름,GNW201769702,개인사업자,54400000,직접
2018-12-31,086569708,(주)씨앤,TPN201375421,법인사업자,420000000,직접
2018-12-31,050388913,머찐,YTC200236011,개인사업자,9900000,직접
2018-12-31,061973514,JH,BJF202081369,개인사업자,68850000,직접
2018-12-31,041191707,(주)로거,FDT201686821,법인사업자,270000000,직접
2018-12-31,061602716,(주)앤디,MNR200033333,법인사업자,225000001,직접
2018-12-31,015395394,(주)바오,ITD200614349,법인사업자,180000000,직접
2018-12-31,038670850,(유한)신일,QOE200550459,법인사업자,267300000,직접
2018-12-31,081840876,용진,MZY202131960,개인사업자,21600000,직접
2018-12-31,036949972,(주)케이,YKR200507692,법인사업자,14400000,직접
2018-12-31,047235955,거창,RKN201299259,개인사업자,270000000,직접
2018-12-31,069976058,(주)신화,VDY201750252,법인사업자,380700000,직접
2018-12-31,037680696,두리,FKC201672818,개인사업자,88400000,직접
2018-12-31,024389304,(주)구미,WYW202248874,법인사업자,34765000,직접
2018-12-31,014708831,안성,WNF200837696,법인사업자,10000000,직접
2018-12-31,077411339,광동,GSS200925597,개인사업자,50000000,직접
2018-12-31,086524647,만국,GNQ201154810,개인사업자,270000000,직접
2018-12-31,046278163,(의료)예현,RXR200137666,법인사업자,743400000,직접
2018-12-31,048217265,(주)대양,ZBH200865164,법인사업자,187000000,직접
2018-12-31,013947261,vi,DYI201623325,개인사업자,7920000,직접
2018-12-31,086806965,만복,BGI200712275,개인사업자,25500000,직접
2018-12-31,085899586,번영,HMH201173210,개인사업자,75735000,직접
2018-12-31,087685905,(주)타이,GVL201451252,법인사업자,360000000,직접
2018-12-31,067842056,(기타)영농,LYV201555354,법인사업자,72250000,직접
2018-12-31,015511953,(주)비플,FPJ201181348,법인사업자,95000000,직접
2018-12-31,037555419,태일,UED200668696,개인사업자,38000000,직접
2018-12-31,017445886,(주)평화,ICZ202038696,법인사업자,1000000000,직접
2018-12-31,078895516,대정,GEU201516194,법인사업자,63000000,직접
2018-12-31,012409173,(주)웰메,URX200428052,법인사업자,270000000,직접
2018-12-31,040363491,(주)비알,YPG200110698,법인사업자,100000000,직접
2018-12-31,044250596,대원,TEQ201786213,법인사업자,14400000,직접
2018-12-31,070894647,부영,TSB201956432,개인사업자,19000000,직접
2018-12-31,010331996,아이,OYF202286878,개인사업자,100000000,직접
2018-12-31,066447963,삼원,WGX202086383,법인사업자,140000000,직접
2018-12-31,089209860,(주)에스,HVK202110927,법인사업자,720000000,직접
2018-12-31,034376824,코사,JJM200377532,개인사업자,135000000,직접
2018-12-31,011374253,거창,YDB201659419,개인사업자,90000000,직접
2018-12-31,072248435,이천,BDO200606493,개인사업자,42500000,직접
2018-12-31,037194718,(주)티제,EOZ202102335,법인사업자,200000000,직접
2018-12-31,066821620,더바,XBB200573135,개인사업자,25330000,직접
2018-12-31,019161903,정예,GJQ201345681,개인사업자,24000000,직접
2018-12-31,040675710,(주)유성,GUV201794635,법인사업자,1048500000,직접
2018-12-31,036323140,금강,EHP200187743,개인사업자,72000000,직접
2018-12-31,014640795,부경,PGT200328422,법인사업자,233200000,직접
2018-12-31,088877696,부흥,VGH201176815,개인사업자,9000000,직접
2018-12-31,077391934,오성,SRO201998908,개인사업자,180000000,직접
2018-12-31,011222010,(주)광덕,CHD200231799,법인사업자,240000000,직접
2018-12-31,060251833,바이,JTQ201346462,개인사업자,12640000,위탁
2018-12-31,054533544,(주)금양,SEC201882423,법인사업자,150000000,직접
2018-12-31,039273029,디자,BXR200955646,법인사업자,52000000,직접
2018-12-31,021160800,(주)에이,RQQ200469819,법인사업자,14144000,직접
2018-12-31,039377881,진일,MMI200637285,개인사업자,24650000,직접
2018-12-31,034804514,국제,WDH201398045,개인사업자,47600000,직접
2018-12-31,037975040,장가,HOO200340529,개인사업자,50000000,직접
2018-12-31,066262407,노형,LHT201529782,개인사업자,200000000,직접
2018-12-31,016469884,중구,ODX200841046,개인사업자,44200000,직접
2018-12-31,089136587,대동,CDN200664995,개인사업자,80750000,직접
2018-12-31,057680832,한국,XOW200570562,법인사업자,50000000,직접
2018-12-31,064908165,선진,BPB200010783,개인사업자,17500000,위탁
2018-12-31,041049470,(주)동인,OOJ201034872,법인사업자,75000000,직접
2018-12-31,012515329,닥터,OSS202267456,개인사업자,42500000,직접
2018-12-31,031958398,(주)송정,TQL200692035,법인사업자,552500000,직접
2018-12-31,065613564,프라,FTQ200806248,법인사업자,297500000,직접
2018-12-31,048626662,해외,TRH201443689,개인사업자,11200000,직접
2018-12-31,061839328,(주)깃털,BSO202229808,법인사업자,99000000,직접
2018-12-31,069925430,(주)누리,NCD201316417,법인사업자,252000000,직접
2018-12-31,023705955,한국,MKG202138015,법인사업자,99000000,직접
2018-12-31,077910602,이불,JGJ201149886,개인사업자,212500000,직접
2018-12-31,032582548,한진,YZG202097829,개인사업자,36000000,직접
2018-12-31,016010397,대진,QBF201367543,개인사업자,33150000,직접
2018-12-31,033465640,이니,NFP202096799,개인사업자,85000000,직접
2018-12-31,087324785,(주)원미,GNZ200796695,법인사업자,144000000,직접
2018-12-31,037350039,(주)삼영,JDD201861625,법인사업자,162000000,직접
2018-12-31,065793022,(주)기분,FWS200479540,법인사업자,272000000,직접
2018-12-31,089514971,비광,HOW201921910,개인사업자,83880000,직접
2018-12-31,024216412,수형,ETQ200036515,개인사업자,22500000,직접
2018-12-31,045720189,케이,LOS200473616,법인사업자,475000000,직접
2018-12-31,054140516,(주)엠티,EXE201009400,법인사업자,96000000,직접
2018-12-31,042190410,(주)대광,ELP200156931,법인사업자,51300000,직접
2018-12-31,043282559,(주)월드,RWL200617173,법인사업자,96800000,직접
2018-12-31,047747177,(주)윤퀼,VIX201121631,법인사업자,40000000,위탁
2018-12-31,041991485,대원,SMD201567637,개인사업자,15470000,직접
2018-12-31,066491598,(주)월드,HOM202063393,법인사업자,212800000,직접
2018-12-31,057913248,제일,SVT200624383,개인사업자,76500000,직접
2018-12-31,043576015,신양,FTR201877744,개인사업자,16800000,위탁
2018-12-31,059838919,고창,UMV200643019,개인사업자,93500000,직접
2018-12-31,037759011,(주)모아,ZHP200108217,법인사업자,300000000,직접
2018-12-31,037556323,(주)오에,KOE201789936,법인사업자,68000000,직접
2018-12-31,046005063,홀드,WZJ200885702,개인사업자,285000000,직접
2018-12-31,032087872,위드,WLN201376395,개인사업자,45000000,직접
2018-12-31,040546024,바이,ESQ202291579,법인사업자,40000000,직접
2018-12-31,013168317,(주)아스,WJZ201643221,법인사업자,342000000,직접
2018-12-31,053361337,상명,OIP200290109,개인사업자,68000000,직접
2018-12-31,049256138,아이,WUD200314123,개인사업자,23085000,직접
2018-12-31,020866373,우람,PIZ200674538,개인사업자,85000000,직접
2018-12-31,044051105,나눔,VQV200606118,개인사업자,54000000,직접
2018-12-31,088425961,MJ,PXH200658475,개인사업자,100000000,직접
2018-12-31,038538309,(주)송라,TUF201226385,법인사업자,108000000,직접
2018-12-31,058437427,(주)세인,RKS201989898,법인사업자,167200000,직접
2018-12-31,068497483,파이,KIY200897348,법인사업자,300000000,직접
2018-12-31,057993454,(주)태영,VSP201752036,법인사업자,66406250,직접
2018-12-31,075912695,와온,KRJ201126329,개인사업자,86400000,직접
2018-12-31,085811628,데네,MBQ200060267,개인사업자,67500000,직접
2018-12-31,058753858,한국,ZPF200060349,개인사업자,17000000,직접
